Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
sweater,clothing,pullover,7,5,different_colours,ese,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,ND,0.142857,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,6,6,worn_in_winter,st,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,1.0,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sweater,clothing,pullover,5,7,worn_on_top_of_shirts,sf,281,5.63835466933375,8,3,7,5,0.714286,0.620408,12.354871,13,0.866667,5.88121581657505,D,1.0,31,6,32,49,142,126.580729166667,43.0966867609035,77.0743641112294,263.386673699379,0.784382554318718,IT
sword,implement,spada,21,1,has_a_handle,ece,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,ND,0.25,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,20,2,a_weapon,ch,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,14,3,is_sharp,ese,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,11,4,has_a_blade,ece,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,10,5,used_for_war,eae,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,9,6,used_for_killing,sf,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,8,7,an_object,ch,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,ND,0.142857,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,8,7,is_long,ese,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,ND,0.25,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,8,7,used_for_cutting,sf,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,7,8,is_ancient,st,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,7,8,made_of_iron,em,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,0.5,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,6,9,has_a_pointed_end,ese,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,6,9,is_medieval,st,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,6,9,made_of_metal,em,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,0.5,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,5,10,is_heavy,ese,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,ND,0.333333,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
sword,implement,spada,5,10,used_by_knights,sp,38346,10.5544054988783,5,2,16,12,0.75,0.748512,13.935861,24,0.857143,7.61301389592617,D,1.0,13,10,34,43,192,51.2014705882353,5.9686292243981,45.2853498154046,72.4327456375775,0.935307628062361,IT
table,furniture,tavolo,23,1,has_4_legs,ece,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,ND,0.166667,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,22,2,used_for_eating_on,sf,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,D,1.0,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,18,3,used_for_holding,sf,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,D,1.0,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,15,4,has_a_board,ece,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,D,0.5,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,12,5,used_for_writing_on,sf,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,D,1.0,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,11,6,furniture,ch,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,ND,0.2,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,10,7,made_of_wood,em,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,ND,0.25,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,7,8,used_for_working,sf,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,D,1.0,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,5,9,an_object,ch,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,ND,0.142857,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
table,furniture,tavolo,5,9,made_of_different_materials,em,86899,11.3725018037074,6,3,10,5,0.5,0.545952,12.612951,11,0.733333,2.49941174538591,ND,0.2,17,9,35,41,176,56.5968253968254,9.99318241329497,45.9409923854166,90.2332194595252,0.906326266015863,IT
train,vehicle,treno,35,1,a_vehicle,ch,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.2,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,33,2,used_on_rail_tracks,se,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,1.0,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,30,3,used_for_transportation,sf,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.166667,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,17,4,has_cars,ece,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,1.0,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,8,5,has_a_caboose,ece,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,1.0,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,7,6,used_for_cargo,se,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.25,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,6,7,is_fast,iep,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.333333,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,6,7,used_by_passengers,sp,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.25,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,6,7,used_for_travel,sf,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,0.5,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,5,8,is_long,ese,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,ND,0.25,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,5,8,makes_stops,sf,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,0.5,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
train,vehicle,treno,5,8,used_by_many_passengers,sp,77220,11.2544137698182,5,2,11,6,0.5,0.495833,14.469578,18,0.642857,6.60154744594788,D,0.5,21,4,37,41,205,94.6351351351351,36.3423334790531,57.0776097158643,219.927575168444,0.898633635551015,IT
apple,fruit,Apfel,30,1,a_fruit,ch,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.2,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,20,2,grows_on_trees,sl,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.2,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,19,3,is_green,ese,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.2,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,19,3,is_red,ese,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.333333,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,16,4,is_yellow,ese,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.333333,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,15,5,is_round,ese,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.111111,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,12,6,different_types,eq,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.166667,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,10,7,is_healthy,iep,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.166667,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,6,8,has_a_stem,ece,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,D,0.5,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,6,8,has_vitamins,eci,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,D,0.5,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,6,8,is_edible,sa,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,D,0.1,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,6,8,tastes_sweet,esi,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,ND,0.25,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
apple,fruit,Apfel,5,9,has_seeds,eci,20825,9.94390946703504,5,2,13,4,0.307692,0.312393,0.596577,52,0.666667,14.5577868011333,D,1.0,54,4,36,76,247,430.375,202.613249582178,200.957086416103,1080.99814957927,0.782298008131295,DE
broom,implement,Besen,27,1,has_a_handle,ece,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,ND,0.333333,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,18,2,used_for_cleaning,sf,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,1.0,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,18,2,used_for_sweeping,sf,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,1.0,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,17,3,has_bristles,ece,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,0.5,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,10,4,used_for_removing_dirt,sf,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,1.0,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,7,5,associated_with_witches,se,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,1.0,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,6,6,used_on_floor,sl,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,D,1.0,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
broom,implement,Besen,5,7,made_of_wood,em,3023,8.01400499477946,5,2,8,6,0.75,0.744792,2.85457,0,0.0,0.0,ND,0.125,40,6,36,59,169,188.62962962963,67.9017957328102,108.381302576963,399.287517764957,0.765325108537137,DE
dog,mammal,Hund,44,1,an_animal,ch,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,ND,0.111111,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,22,2,used_as_pet,sr,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,D,0.5,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,17,3,beh_-_barks,eb,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,D,1.0,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,14,4,has_4_legs,ece,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,ND,0.2,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,10,5,has_a_tail,ece,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,D,0.5,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,8,6,is_man's_best_friend,sr,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,D,1.0,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,6,7,different_types,eq,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,ND,0.166667,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,6,7,has_4_paws,ece,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,D,1.0,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
dog,mammal,Hund,6,7,has_a_fur,ece,153091,11.9387877948101,4,1,9,5,0.555556,0.534568,4.434199,15,0.714286,5.68497174407853,ND,0.333333,58,13,35,88,232,213.687912087912,49.2986395918308,147.881223515749,351.813100626844,0.753253253253253,DE
eye,bodypart,Auge,32,1,used_for_seeing,sf,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,18,2,there_are_2,eq,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,14,3,different_colours,ese,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,ND,0.2,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,11,4,located_in_the_face,sl,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,8,5,an_organ,ch,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,8,5,is_blue,ese,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,8,5,is_brown,ese,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,ND,0.25,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,8,5,is_green,ese,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,ND,0.2,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,7,6,used_for_sensing,sf,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,6,7,part_of_body,ch,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,ND,0.2,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
eye,bodypart,Auge,5,8,located_in_the_human_face,sl,298822,12.6076033573751,4,2,11,7,0.636364,0.713636,7.962316,3,0.3,0.848363894566285,D,1.0,28,9,37,59,207,101.378378378378,22.3268182044702,75.0639038621474,170.798910737563,0.867107381981524,DE
hand,bodypart,Hand,19,1,has_5_fingers,ece,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,1.0,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,17,2,part_of_body,ch,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,ND,0.2,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,13,3,humans_have_2,eq,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,0.5,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,11,4,used_for_grasping,sf,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,0.5,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,7,5,used_for_feeling,sf,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,0.5,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,6,6,has_fingers,ece,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,1.0,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,6,6,located_at_arm,sl,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,1.0,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,6,6,used_for_writing,sf,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,1.0,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,5,7,is_flexible,iep,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,0.5,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,5,7,part_of_human_body,ew,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,0.5,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
hand,bodypart,Hand,5,7,used_for_lifting,sf,339811,12.7361448596795,4,1,11,10,0.909091,0.7,6.082178,10,1.0,4.75243967103551,D,1.0,50,6,37,71,176,273.702702702703,101.675158410685,151.095859981301,583.990130733008,0.717790487658037,DE
